CustomerID,Coverage,Education,EmploymentStatus,Gender,Income,Location.Geo,Location.Code,Marital.Status,Monthly.Premium.Auto,Months.Since.Last.Claim,Months.Since.Policy.Inception,Number.of.Open.Complaints,Number.of.Policies,Policy.Type,Policy,Renew.Offer.Type,Sales.Channel,Total.Claim.Amount,Vehicle.Class,Vehicle.Size,Customer.Lifetime.Value
10856,Basic,High School or Below,Employed,M,70340,"23.3,89.3",Suburban,Married,113,28,28,0,1,Personal Auto,Personal L2,Offer1,Agent,537.6,Sports Car,3,low
8999,Basic,Doctor,Employed,M,44818,"18.7,72.2",Suburban,Divorced,68,6,29,0,2,Personal Auto,Personal L1,Offer1,Agent,432.4081,Four-Door Car,3,low
9402,Premium,Bachelor,Employed,M,84488,"18.6,73",Rural,Married,182,27,46,NA,2,Corporate Auto,Corporate L2,Offer1,Agent,260.627146,SUV,3,high
2059,Basic,NA,Unemployed,NA,0,"13,80.8",Suburban,NA,65,4,56,1,NA,NA,NA,NA,NA,439.001718,Four-Door Car,3,low
4233,Premium,High School or Below,Unemployed,M,0,"22.5,88",Suburban,Single,107,14,90,0,3,Personal Auto,Personal L3,Offer1,Agent,770.4,Four-Door Car,2,low
6198,Basic,High School or Below,Unemployed,F,0,"19,70.6",Rural,Married,104,1,48,3,7,Personal Auto,Personal L3,Offer1,Branch,82.041684,Sports Car,2,low
10727,Extended,Bachelor,Unemployed,M,0,"19.3,72.4",Suburban,Single,84,4,29,0,1,Personal Auto,Personal L1,Offer3,Branch,849.011958,Four-Door Car,2,low
5705,Basic,High School or Below,Employed,M,61546,"19.4,73.8",Rural,Married,68,4,27,0,3,Corporate Auto,Corporate L2,Offer4,Call Center,29.209521,Two-Door Car,1,low
1852,Basic,Bachelor,Unemployed,M,0,"22.7,88.3",Rural,Married,61,17,14,1,1,NA,Personal L3,Offer4,Web,60.5975,Two-Door Car,2,low
9201,Extended,Doctor,Employed,F,37384,"18.8,71.4",Urban,Married,93,30,66,1,1,NA,Personal L3,Offer2,Branch,354.455466,Four-Door Car,2,low
3587,Basic,College,Medical Leave,M,17483,"21.7,88.8",Suburban,Married,183,24,63,0,1,Personal Auto,Personal L1,Offer2,Web,1317.6,Luxury Car,1,low
1026,Basic,Bachelor,Medical Leave,M,10269,"28.6,76.4",Urban,Single,65,12,5,NA,3,NA,Personal L1,Offer1,Agent,170.798204,Two-Door Car,2,low
8876,Basic,Bachelor,Employed,M,54289,"13.8,78.9",Suburban,Married,62,32,13,0,2,Personal Auto,Personal L2,Offer2,Call Center,430.093647,Four-Door Car,2,low
633,Basic,Bachelor,Employed,F,33190,"18.7,72.1",Suburban,Divorced,106,18,95,0,2,Personal Auto,Personal L3,Offer1,Web,508.8,SUV,2,high
4979,Extended,College,Employed,F,23649,"17.5,79",Urban,Married,122,2,69,0,6,Personal Auto,Personal L3,Offer1,Branch,535.606632,SUV,1,high
3993,Extended,College,Unemployed,M,0,"19.1,73.1",Suburban,Divorced,128,6,85,0,2,NA,Corporate L2,Offer1,Branch,595.2,SUV,2,high
5465,Extended,High School or Below,Employed,M,43736,"17.8,78.7",Suburban,Married,128,0,88,0,3,Personal Auto,Personal L1,Offer1,Branch,614.4,SUV,2,high
6613,Extended,College,Employed,M,52693,"19.4,72.2",Suburban,Married,129,1,0,0,5,Personal Auto,Personal L2,Offer1,Branch,619.2,SUV,2,high
10724,NA,Bachelor,Medical Leave,M,16208,"19.3,73.4",Suburban,Married,NA,7,87,0,1,Personal Auto,Personal L3,Offer2,Branch,350.4,Four-Door Car,2,low
8850,Basic,Bachelor,Employed,F,76731,"19.8,73.7",Urban,Married,64,2,68,0,1,Personal Auto,Personal L3,Offer2,Agent,201.455005,Four-Door Car,2,low
8276,Basic,College,Unemployed,M,0,"29.2,76.2",Suburban,Single,110,14,30,1,5,Personal Auto,Personal L3,Offer3,Branch,792,SUV,2,low
7638,Basic,High School or Below,Disabled,M,25539,"19,73",Suburban,Married,112,2,43,1,7,NA,Personal L2,Offer2,Agent,542.4,SUV,3,low
307,Basic,College,Medical Leave,M,16244,"19.1,73.6",Suburban,Married,68,4,85,0,1,Personal Auto,Personal L3,Offer4,Call Center,623.223617,Two-Door Car,2,low
4150,Premium,High School or Below,Employed,F,53787,"17.1,78.4",Suburban,Married,104,20,77,0,1,Corporate Auto,Corporate L2,Offer1,Agent,666.092015,Four-Door Car,2,low
2248,Basic,High School or Below,Employed,M,85355,"19,73",Suburban,Married,71,34,47,2,2,Personal Auto,Personal L2,Offer2,Call Center,458.568921,Two-Door Car,3,low
39,Basic,High School or Below,Employed,M,69040,"28.5,75.3",Suburban,Married,108,4,88,0,1,Corporate Auto,Corporate L3,Offer1,Call Center,518.4,Sports Car,3,low
8527,Premium,College,Unemployed,M,0,"29.1,77.1",Suburban,Single,119,33,58,1,3,Corporate Auto,Corporate L3,Offer1,Call Center,964.51598,Four-Door Car,3,low
320,Basic,Doctor,Employed,M,36631,"17.2,78.5",Rural,Divorced,62,30,77,0,1,Personal Auto,Personal L2,Offer1,Agent,67.530904,Four-Door Car,1,low
11148,Extended,High School or Below,Employed,F,37995,"28.7,77.6",Suburban,Married,139,16,50,0,1,Personal Auto,Personal L3,Offer1,Branch,667.2,SUV,2,low
10807,Extended,College,Employed,F,70263,"12.6,78.3",Rural,Married,93,30,66,0,5,Personal Auto,Personal L1,Offer2,Call Center,7.345946,Two-Door Car,3,low
4599,NA,College,Employed,F,36737,"16.8,79",Suburban,Married,69,6,95,0,2,Personal Auto,Personal L2,Offer2,Call Center,350.4,Two-Door Car,2,low
4717,Basic,NA,Employed,NA,68041,"NA,NA",NA,NA,63,6,14,5,NA,NA,NA,Offer3,Branch,292.8,Two-Door Car,3,low
490,Extended,Bachelor,Unemployed,F,0,"13.1,80.1",Suburban,Single,80,8,74,NA,1,Personal Auto,Personal L3,Offer2,Agent,408,Four-Door Car,2,low
8154,Extended,Bachelor,Unemployed,M,0,"22.7,87.8",Suburban,Married,136,30,75,0,2,Personal Auto,Personal L2,Offer1,Agent,652.8,SUV,2,high
2071,Basic,High School or Below,Employed,F,25318,"17,78.9",Suburban,Married,63,4,8,2,2,Personal Auto,Personal L2,Offer2,Call Center,302.4,Four-Door Car,3,low
2885,Premium,High School or Below,Unemployed,F,0,"19.3,74.2",Suburban,Married,110,20,66,0,7,Personal Auto,Personal L3,Offer1,Agent,1002.782553,Four-Door Car,2,low
5728,Extended,High School or Below,Employed,M,85297,"28.5,75.9",Suburban,Married,93,7,91,0,2,Special Auto,Special L3,Offer2,Branch,620.011594,Two-Door Car,3,high
9360,Basic,High School or Below,Employed,F,45270,"28.5,77.1",Rural,Single,70,11,63,0,2,Personal Auto,Personal L3,Offer4,Call Center,46.053458,Two-Door Car,2,low
6848,Extended,College,Employed,F,97238,"19,72.9",Suburban,Divorced,126,6,91,0,3,Personal Auto,Personal L3,Offer3,Web,604.8,SUV,2,high
11234,Basic,College,Employed,F,42303,"17.4,79.1",Suburban,Married,180,24,66,0,1,Personal Auto,Personal L2,Offer2,Agent,1210.920949,Luxury SUV,2,low
6697,Basic,College,Employed,M,39718,"29.4,75.9",Suburban,Married,65,1,55,2,1,Personal Auto,Personal L3,Offer1,Web,366.531664,Four-Door Car,2,low
7379,Basic,Bachelor,Employed,F,29629,"18.4,71.1",Urban,Married,71,21,51,4,5,Special Auto,Special L1,Offer1,Agent,228.443418,Four-Door Car,2,low
11031,Basic,College,Unemployed,F,0,"19.4,72.6",Suburban,Single,73,2,38,3,2,Corporate Auto,Corporate L1,Offer2,Agent,525.6,Four-Door Car,2,low
3670,Basic,High School or Below,Disabled,F,17099,"18.9,73.1",Suburban,Married,NA,13,28,0,9,Personal Auto,Personal L2,Offer1,Web,331.2,Four-Door Car,3,low
1223,Extended,Master,Employed,M,52965,"29.2,76.6",Rural,Married,134,6,77,3,4,Personal Auto,Personal L3,Offer4,Agent,83.815183,SUV,2,high
9847,Basic,High School or Below,Unemployed,F,0,"29,76.5",Suburban,Single,63,0,14,0,1,NA,Corporate L3,Offer2,Call Center,345.6,Two-Door Car,2,low
700,NA,Bachelor,Employed,M,29697,"19.1,73.5",Rural,Married,64,6,43,0,2,Personal Auto,Personal L2,Offer3,Agent,147.128736,Four-Door Car,2,low
6399,Basic,High School or Below,Unemployed,M,0,"17.6,77.8",Suburban,Single,68,10,36,0,7,NA,Personal L3,Offer4,Call Center,609.323227,Two-Door Car,2,low
7235,Basic,Master,Unemployed,F,0,"22.6,88.4",Suburban,Married,71,3,38,0,3,Personal Auto,Personal L3,Offer1,Branch,340.8,Four-Door Car,2,low
7459,Basic,Bachelor,Unemployed,F,0,"28.5,76.1",Suburban,Single,119,28,74,0,1,Corporate Auto,Corporate L3,Offer2,Agent,813.6,SUV,2,low
11432,Extended,High School or Below,Employed,F,53441,"18.9,72.5",Suburban,Married,76,11,78,0,1,Personal Auto,Personal L3,Offer4,Agent,364.8,Two-Door Car,2,low
8411,Basic,Bachelor,Employed,F,86498,"18.7,70.9",Rural,Married,74,13,13,1,5,Personal Auto,Personal L2,Offer3,Agent,8.529778,Two-Door Car,2,low
9215,Extended,Bachelor,Employed,F,35666,"28.3,77.7",Rural,Divorced,130,6,6,0,1,Personal Auto,Personal L3,Offer1,Branch,0.517753,Sports Car,2,low
6809,Extended,Bachelor,Employed,M,53984,"28.8,77.5",Suburban,Divorced,80,15,62,0,1,Corporate Auto,Corporate L2,Offer1,Call Center,421.484456,Four-Door Car,3,low
9171,Basic,Bachelor,Employed,M,81741,"13,80.2",Urban,Single,64,10,94,0,8,Corporate Auto,Corporate L2,Offer1,Agent,186.448395,Four-Door Car,2,low
9658,NA,Doctor,Employed,F,74454,"22.6,89.3",Rural,Single,71,25,31,0,3,NA,Corporate L3,Offer2,Branch,20.141289,Four-Door Car,2,low
7464,Extended,College,Unemployed,M,0,"21.2,88.5",Suburban,Married,87,1,70,0,2,Personal Auto,Personal L3,Offer1,Call Center,417.6,Four-Door Car,2,high
8623,NA,College,Medical Leave,M,25143,"28.3,76.4",Suburban,Married,68,31,82,0,1,NA,Personal L3,Offer1,Agent,340.8,Four-Door Car,2,low
5486,Basic,High School or Below,Employed,M,25927,"19.1,72.5",Suburban,Single,NA,6,20,0,1,Personal Auto,Personal L3,Offer2,Web,674.973614,SUV,2,low
1444,Basic,Bachelor,Unemployed,F,0,"29.8,77.8",Suburban,Married,73,18,45,0,5,Personal Auto,Personal L2,Offer1,Call Center,350.4,Four-Door Car,2,low
8574,Extended,College,Retired,F,13663,"17.5,79.3",Suburban,Single,97,1,66,0,2,Corporate Auto,Corporate L3,Offer1,Branch,465.6,Four-Door Car,3,high
8995,Basic,Master,Unemployed,M,0,"13,79",Suburban,Married,70,13,18,0,2,Personal Auto,Personal L1,Offer1,Agent,336,Four-Door Car,2,low
4166,Basic,High School or Below,Employed,M,50549,"13.2,80",Suburban,Divorced,61,2,73,0,7,Personal Auto,Personal L3,Offer1,Agent,292.8,Four-Door Car,2,low
491,Basic,Master,Unemployed,M,0,"17.9,78.7",Rural,Divorced,73,33,44,0,3,Personal Auto,Personal L3,Offer1,Branch,152.080908,Four-Door Car,1,low
10926,Premium,Doctor,Employed,F,79655,"17.7,78.3",Rural,Married,296,12,17,0,9,Personal Auto,Personal L3,Offer2,Branch,498.159874,Luxury Car,2,high
484,Basic,Bachelor,Retired,M,22828,"16.7,80.3",Suburban,Married,106,11,54,0,2,Personal Auto,Personal L2,Offer1,Agent,508.8,SUV,2,high
563,Basic,College,Employed,M,47199,"29.5,76.8",Rural,Married,NA,33,91,0,1,NA,Personal L3,Offer1,Agent,162.199584,Sports Car,2,low
6767,NA,Bachelor,NA,M,?,"NA,NA",NA,Married,69,1,65,0,1,Personal Auto,Personal L3,Offer2,Branch,331.2,NA,NA,low
7943,Basic,High School or Below,Unemployed,M,0,"19.3,73.7",Suburban,Married,63,1,5,0,1,Corporate Auto,Corporate L3,Offer2,Agent,679.368378,Two-Door Car,2,low
9191,Extended,College,Employed,M,49078,"19.3,74.2",Rural,Single,83,15,16,0,2,Personal Auto,Personal L3,Offer2,Branch,56.371967,Four-Door Car,2,high
10102,Basic,Doctor,Medical Leave,F,11343,"28.9,78.2",Suburban,Married,NA,22,72,NA,5,Corporate Auto,Corporate L3,Offer1,Call Center,350.4,Two-Door Car,2,low
8774,Extended,Bachelor,Employed,F,47778,"17.2,78.4",Rural,Married,96,2,81,0,7,Personal Auto,Personal L3,Offer2,Call Center,173.80879,Four-Door Car,2,low
4490,Extended,Master,Employed,M,25411,"17.4,79.8",Suburban,Single,92,17,46,0,3,Corporate Auto,Corporate L3,Offer4,Call Center,413.492922,Four-Door Car,2,low
10321,Basic,Bachelor,Employed,M,68342,"29.4,79",Urban,Divorced,72,7,59,0,6,NA,Corporate L3,Offer2,Web,329.013275,Two-Door Car,2,low
5811,Basic,Doctor,Employed,M,79751,"19.6,73.5",Suburban,Married,65,15,71,0,1,Personal Auto,Personal L3,Offer3,Call Center,468,Two-Door Car,3,low
10604,Basic,College,Employed,F,34911,"17.6,78.3",Rural,Divorced,105,6,31,1,1,Personal Auto,Personal L3,Offer4,Agent,126.779673,SUV,1,low
3146,Extended,High School or Below,Retired,F,10312,"20.3,72.5",Suburban,Married,78,10,63,0,1,Corporate Auto,Corporate L2,Offer2,Agent,486.278557,Four-Door Car,1,low
81,Basic,Bachelor,Employed,F,43682,"16.9,77.4",Rural,Married,107,12,73,0,1,Corporate Auto,Corporate L3,Offer3,Branch,148.003496,SUV,2,low
5130,Basic,College,Employed,M,56342,"27.9,77.8",Suburban,Single,67,7,89,0,1,Personal Auto,Personal L1,Offer2,Call Center,336,Four-Door Car,2,low
3073,Basic,Master,Employed,M,25915,"28.8,77.4",Suburban,Married,63,33,62,1,8,Personal Auto,Personal L2,Offer2,Call Center,302.4,Four-Door Car,3,low
3765,Basic,Master,Employed,F,83318,"28.8,78",Rural,Married,NA,0,33,0,1,Corporate Auto,Corporate L3,Offer4,Branch,51.822348,Two-Door Car,2,low
10288,Extended,Bachelor,Employed,M,43987,"18.6,71.8",Suburban,Married,96,29,17,0,1,Personal Auto,Personal L3,Offer2,Call Center,460.8,Four-Door Car,2,low
1158,NA,Bachelor,Medical Leave,M,19464,"19.1,71.4",Suburban,Single,NA,25,50,0,1,Corporate Auto,Corporate L2,Offer1,Branch,790.784983,Four-Door Car,2,low
7921,Basic,Master,Medical Leave,F,17193,"17.5,78.6",Suburban,Divorced,66,4,3,0,1,Corporate Auto,Corporate L3,Offer1,Web,316.8,Four-Door Car,2,low
5032,Extended,College,Employed,M,42961,"29.1,77",Suburban,Married,83,24,16,0,2,Personal Auto,Personal L2,Offer2,Web,398.4,Four-Door Car,2,high
6388,NA,College,Unemployed,F,0,"17,79.5",Suburban,Single,69,12,89,0,8,Personal Auto,Personal L1,Offer1,Agent,632.081402,Four-Door Car,3,low
9823,Basic,College,Employed,M,94362,"18.9,73.6",Urban,Divorced,74,21,96,0,1,Personal Auto,Personal L2,Offer1,Agent,195.405949,Two-Door Car,1,low
8454,Extended,Doctor,Employed,M,73339,"17,77.4",Rural,Divorced,89,34,13,0,2,Personal Auto,Personal L3,Offer2,Agent,17.558721,Four-Door Car,2,high
7815,Premium,High School or Below,Unemployed,F,0,"29.6,78",Suburban,Single,114,29,96,0,2,Personal Auto,Personal L3,Offer1,Branch,820.8,Four-Door Car,2,high
1174,NA,NA,Disabled,NA,13050,"NA,NA",NA,NA,119,20,1,0,3,Personal Auto,Personal L3,Offer4,Web,571.2,NA,NA,low
1975,Basic,College,Unemployed,M,0,"28.5,76.5",Urban,Married,71,8,59,1,1,Personal Auto,Personal L2,Offer3,Branch,244.587596,Four-Door Car,2,low
3665,Premium,Master,Employed,F,30361,"18.8,71.7",Urban,Married,119,28,48,1,1,Personal Auto,Personal L2,Offer2,Branch,373.289571,Four-Door Car,2,low
8304,Basic,Master,Employed,F,29462,"16.8,78.7",Suburban,Single,107,28,23,1,1,Personal Auto,Personal L3,Offer2,Branch,513.6,SUV,1,low
10298,Extended,High School or Below,Medical Leave,M,18052,"18.9,72.6",Suburban,Married,96,27,21,NA,1,Personal Auto,Personal L3,Offer2,Web,451.2,Four-Door Car,1,low
4060,Basic,High School or Below,Employed,F,35334,"16.9,78.9",Suburban,Married,65,29,31,0,4,Personal Auto,Personal L2,Offer4,Web,468,Four-Door Car,3,low
5406,NA,Master,Employed,F,68568,"17,78.1",Suburban,Married,223,5,28,1,6,Personal Auto,Personal L3,Offer4,Branch,1070.4,Luxury Car,2,high
211,Basic,Master,Disabled,F,28898,"17.5,79.1",Suburban,Divorced,65,7,8,NA,1,Personal Auto,Personal L3,Offer3,Web,316.8,Four-Door Car,2,low
1177,Basic,College,Unemployed,M,0,"18.8,72.5",Suburban,Single,67,20,29,2,2,Personal Auto,Personal L3,Offer1,Agent,321.6,Four-Door Car,2,low
7859,Basic,High School or Below,Employed,M,44986,"29,77.3",Suburban,Married,101,14,83,0,3,Corporate Auto,Corporate L1,Offer1,Call Center,624.023564,SUV,2,low
5807,Basic,High School or Below,Unemployed,F,0,"13.3,80.3",Suburban,Divorced,118,10,69,1,1,Personal Auto,Personal L3,Offer1,Branch,670.656551,SUV,2,low
5987,Basic,Bachelor,Employed,M,35456,"16.7,78.8",Urban,Married,109,14,58,0,6,Personal Auto,Personal L1,Offer3,Agent,505.082702,Sports Car,2,low
2340,Basic,High School or Below,Employed,M,44788,"19.2,71.8",Suburban,Married,61,6,48,0,2,Personal Auto,Personal L2,Offer2,Agent,386.031248,Four-Door Car,3,low
7935,NA,College,Employed,M,42743,"28.8,76.7",Suburban,Married,114,1,77,NA,6,Corporate Auto,Corporate L2,Offer1,Branch,542.4,Four-Door Car,3,high
5175,Extended,High School or Below,Employed,M,66169,"16.7,79.1",Rural,Married,96,35,30,1,1,Personal Auto,Personal L2,Offer4,Web,156.429591,Two-Door Car,3,low
1467,Basic,College,Unemployed,F,0,"13.4,80.6",Urban,Married,117,0,65,0,4,Personal Auto,Personal L3,Offer3,Call Center,511.422666,SUV,2,low
2413,NA,Master,Employed,F,29460,"13,78.8",Urban,Married,72,21,50,0,5,Personal Auto,Personal L3,Offer4,Web,328.65413,Two-Door Car,2,low
9208,Premium,High School or Below,Employed,M,33561,"18.9,72.5",Rural,Divorced,152,6,30,0,1,Corporate Auto,Corporate L3,Offer3,Branch,235.316581,Sports Car,2,low
4803,Basic,High School or Below,Unemployed,M,0,"17.9,79",Urban,Married,69,5,74,0,1,Corporate Auto,Corporate L2,Offer2,Branch,272.381465,Two-Door Car,2,low
10952,Premium,Bachelor,Employed,F,41546,"13.5,79.9",Rural,Divorced,111,4,47,NA,3,NA,Corporate L1,Offer1,Call Center,121.306839,Four-Door Car,2,low
5973,Premium,High School or Below,Unemployed,F,0,"19.2,72.9",Suburban,Single,168,11,46,0,1,Personal Auto,Personal L3,Offer1,Agent,1476.670903,SUV,2,low
7160,Basic,College,Employed,F,40864,"17.1,77.8",Rural,Married,109,16,70,1,1,Personal Auto,Personal L3,Offer1,Agent,166.937747,SUV,2,low
4197,Extended,High School or Below,Employed,M,57844,"18.9,73.9",Suburban,Married,85,16,31,1,2,Personal Auto,Personal L3,Offer3,Branch,408,Four-Door Car,3,high
7529,Premium,High School or Below,Employed,M,56855,"19.4,73.1",Suburban,Single,276,17,0,0,1,Corporate Auto,Corporate L1,Offer1,Agent,1358.4,Luxury Car,2,high
8116,Extended,College,Employed,M,59644,"22.4,89.4",Suburban,Married,79,15,94,0,1,Corporate Auto,Corporate L3,Offer1,Agent,379.2,Four-Door Car,2,low
3644,Basic,Bachelor,Unemployed,M,0,"28.5,78.9",Suburban,Single,109,22,5,0,1,Personal Auto,Personal L3,Offer1,Agent,784.8,SUV,3,low
10021,Basic,College,Unemployed,F,0,"22.2,87.4",Suburban,Single,68,19,2,3,2,Personal Auto,Personal L2,Offer1,Agent,326.4,Four-Door Car,1,high
10273,Extended,High School or Below,Disabled,F,14254,"16.9,79",Suburban,Married,124,21,16,0,1,Corporate Auto,Corporate L1,Offer3,Branch,595.2,SUV,1,low
9938,Basic,College,Employed,M,77748,"18.5,71.3",Rural,Married,72,7,7,NA,1,Personal Auto,Personal L3,Offer2,Branch,22.569825,Four-Door Car,2,low
6865,Basic,College,Disabled,F,26056,"16.5,78.9",Suburban,Married,73,17,73,0,2,Personal Auto,Personal L3,Offer1,Branch,355.558088,Four-Door Car,2,high
10869,Extended,College,Employed,M,73945,"22.9,89.8",Urban,Married,78,21,76,0,8,Personal Auto,Personal L3,Offer2,Web,330.872532,Two-Door Car,2,low
10042,Basic,Master,Employed,M,37722,"18.5,73.3",Rural,Single,116,8,23,0,8,Personal Auto,Personal L1,Offer1,Agent,158.077504,Sports Car,2,high
5795,Basic,College,Employed,F,67760,"16.9,79",Suburban,Married,74,19,19,0,3,Special Auto,Special L3,Offer4,Branch,465.278453,Four-Door Car,2,low
470,Basic,College,Employed,M,33760,"17.4,80",Suburban,Married,105,5,80,0,2,Personal Auto,Personal L3,Offer1,Agent,504,Sports Car,3,high
2436,Basic,College,Employed,M,49746,"12.7,81.4",Suburban,Married,109,16,61,0,1,Personal Auto,Personal L2,Offer1,Branch,780.378964,SUV,2,low
3653,Premium,College,Employed,F,74140,"12.8,81.1",Suburban,Divorced,118,19,5,2,2,Personal Auto,Personal L1,Offer1,Web,552,Four-Door Car,2,high
7328,Basic,Bachelor,Unemployed,F,0,"13.2,81.2",Rural,Married,NA,25,51,2,1,Special Auto,Special L2,Offer2,Branch,159.636956,Four-Door Car,2,low
9786,Basic,College,Unemployed,F,0,"22.3,90",Suburban,Single,66,18,95,2,1,Personal Auto,Personal L3,Offer1,Branch,316.8,Two-Door Car,2,low
3694,Premium,Bachelor,Employed,F,41611,"17.4,77.4",Urban,Married,148,10,54,0,1,Personal Auto,Personal L2,Offer1,Branch,589.628918,SUV,2,low
8370,Basic,High School or Below,Employed,F,52583,"18.9,72.9",Urban,Single,113,12,59,0,7,Personal Auto,Personal L3,Offer1,Agent,528.20086,SUV,3,low
3436,Basic,Bachelor,Medical Leave,F,24152,"29.1,78.2",Suburban,Married,72,17,28,2,1,Personal Auto,Personal L2,Offer3,Branch,345.6,Four-Door Car,1,low
8105,Basic,College,Retired,M,26802,"22.4,89.1",Suburban,Married,NA,7,43,1,5,Corporate Auto,Corporate L3,Offer2,Agent,316.8,Two-Door Car,2,low
1903,Extended,College,Employed,F,43137,"19.4,72.7",Suburban,Married,NA,8,41,0,8,Personal Auto,Personal L3,Offer2,Call Center,460.8,Two-Door Car,1,low
2084,Basic,College,Unemployed,M,0,"29,75.9",Suburban,Married,102,35,48,0,2,Corporate Auto,Corporate L3,Offer1,Branch,489.6,SUV,2,high
2669,Extended,High School or Below,Unemployed,M,0,"13.2,79.8",Suburban,Married,131,20,59,0,2,Personal Auto,Personal L3,Offer3,Agent,842.391832,SUV,2,high
7286,NA,High School or Below,Employed,F,41449,"21.7,88.3",Suburban,Married,69,16,96,1,3,Personal Auto,Personal L1,Offer3,Branch,331.2,Two-Door Car,2,low
3176,Extended,High School or Below,Employed,F,24279,"18.8,72.1",Suburban,Married,126,16,97,0,2,Personal Auto,Personal L2,Offer2,Branch,604.8,Sports Car,2,high
9634,Basic,College,Employed,F,82427,"12.5,79.1",Suburban,Married,102,24,5,0,1,Personal Auto,Personal L3,Offer2,Agent,489.6,SUV,3,low
6773,Premium,College,Employed,M,30763,"19.1,72.6",Rural,Single,NA,25,29,0,2,Personal Auto,Personal L3,Offer1,Branch,133.735395,Four-Door Car,2,high
2290,Basic,High School or Below,Retired,M,19683,"28.7,77.5",Suburban,Married,117,17,41,1,9,Personal Auto,Personal L2,Offer1,Web,561.6,Sports Car,2,low
1505,Basic,Master,Employed,F,34990,"28.5,77.9",Rural,Single,65,23,73,0,1,Personal Auto,Personal L3,Offer2,Web,42.689135,Four-Door Car,2,low
7324,Basic,High School or Below,NA,F,?,"13.2,81.8",Suburban,Single,62,29,72,0,NA,NA,NA,NA,NA,321.6,Four-Door Car,2,low
